,Company,Location,Role
161,Zerocircle,Pune,Research & Development (Natural Polymer)
162,Nuvoretail,Work From Home,Data Analytics
163,Nemesis Consultants LLP,Work From Home,Power BI Development
164,Digite Incorporated,Work From Home,Data Science
165,FACE Prep,Work From Home,Content Development (Data Structures & Algorithms In Java)
166,Busibud,Chandigarh,HR Operations
167,Airtory,Bangalore,Data Analytics
168,Dimensionless Technologies,Navi Mumbai,Cloud System Administration
169,Medius Technologies Private Limited,Work From Home,Data Analytics
170,SkillBoard,Work From Home,Video Tutorial Creation (Excel And PowerBI)
171,Robocom International,Work From Home,Deep Learning Engineering
172,Gloify,Bangalore,Machine Learning
173,DNK Consultancy Services Private Limited,Delhi,Quant Trading
174,Tag8,Mumbai,Business Analyst
175,Zoe Nutrition Private Limited,Gurgaon,Data Analytics (Marketing)
176,ExxpertSCM (A Unit Of Thoughtware Training Private Limited),Bangalore,Data Analytics
177,ExxpertSCM (A Unit Of Thoughtware Training Private Limited),Bangalore,Data Analytics
178,Spacekawa Explorations Private Limited,Work From Home,Data Science
179,True Elements,Pune,Data Science & Analytics
180,Pianalytix Edutech Private Limted,Work From Home,Microsoft Power BI Development
181,GenieTalk,Indore,Data Science
182,Ampius Industries,Noida,Data Science
183,Aurochs Software Private Limited,Pune,Business Analytics
184,SkillBit,Work From Home,Data Science
185,SkillBit,Pune,Machine Learning
186,ABG IT Services,Bangalore,Cloud Analytics
187,Empliance Information Services India LLP,Work From Home,Data Science
188,Stirring Minds,Delhi,Business Analytics
189,Qure.ai,Work From Home,Data Science (Radiology)
190,Isourse,Delhi,Business Analysis
191,Webomates,Work From Home,AI
192,Primary Healthtech,Guwahati,Data Analytics
193,Vasundharaa Geo Technologies Private Limited,Pune,Machine Learning (Data Science)
194,Deep  Manek,Mumbai,Data Science
195,CBD Marketing Solutions,Delhi,Influencer Marketing Analysis
196,Ladli Foundation,Work From Home,Research
197,Kamdhenu Robotics,Work From Home,Computer Vision & AI (Robotics)
198,CloudGarage,Work From Home,Business Analytics
199,Areneva Technologies,Noida,Business Analysis
200,Trium Info Solutions Private Limited,Mumbai,Data Science
201,Alphabt,Work From Home,Computer Vision (AI-Based)
202,FlexiEle Consulting Services Private Limited,Work From Home,OpenCV Authentication
203,ClayLogix Consulting Private Limited,Delhi,Power BI Development
204,Delever (V Delever Solutionss Private Limited),Work From Home,Business Analysis
205,Blismos Solutions Private Limited,Bangalore,Data Engineering/Big Data Development & Testing
206,ABG IT Services,Bangalore,Data Analytics
207,Fezelearn Edtech,Lucknow,Machine Learning
208,Musejam,Delhi,Data & Reporting
209,"Indraprastha Institute Of Information Technology, Delhi",Delhi,Summer Research
210,Aryabhatta Research Institute Of Observational Sciences,Nainital,Computer Science
