,Company Name,Location.1,JOB,Python,SQL,R language,Linux,Cloud,Revenue,No of employee,Tablue,Clusters
70,Casepoint Pvt. Ltd.,Surat,Data Scientist,1,0,0,0,Both or Didnt Specift,0.1909,635,0,4
71,Cygnet Infotech,India,Data Scientist,1,1,0,0,Both or Didnt Specift,0.1521,"1,000",0,4
73,Vistex Asia-Pacific Private Ltd.,Hyderabad,Data Scientist,0,0,0,0,Both or Didnt Specift,0.250,"1,500",0,4
75,Tredence,Gurgaon,Data Scientist,0,0,0,0,Both or Didnt Specift,0.0302,1050,0,4
80,Beinex,Kochi,Data Scientist,0,0,0,1,Both or Didnt Specift,0.018,30,0,4
81,Kwalee,Bengaluru,Data Scientist,1,0,0,1,Both or Didnt Specift,0.0283,183,0,4
84,MABZONE IT SOLUTIONS,Mohali,Data Scientist,0,0,1,1,Both or Didnt Specift,0.005,25,0,4
85,Paktolus,Bengaluru,Data Scientist,1,0,0,0,Both or Didnt Specift,0.044,43,0,4
87,Walmart Global Tech India,Bengaluru,Data Scientist,1,0,0,1,Both or Didnt Specift,40.65,"10,000",0,4
93,CityLink Technology Solutions,Pune,Data Scientist,1,0,0,0,Both or Didnt Specift,0.005,25,0,4
95,The Luxury Closet,Gurgaon,Head of Insights and Data,0,0,0,1,Both or Didnt Specift,0.009,193,0,4
96,Crowe,Noida,Data Scientist,0,0,0,0,Both or Didnt Specift,44,"4,440",0,4
97,Onward Group,Bengaluru,Data Scientist,0,0,0,1,Both or Didnt Specift,0.03,2700,0,4
99,Postman,Remote in India,newRemote,1,1,0,0,Both or Didnt Specift,0.815,858,0,4
104,RedSeer Management Consulting,India,Data Scientist,0,0,0,0,AWS,0.006,139,0,4
106,Paktolus,Bengaluru,Data Scientist,0,0,0,0,AWS,0.044,43,0,4
110,BD,Bengaluru,Data Scientist,1,0,0,0,AWS,17.117,76,0,4
112,Canum Infotech,Bengaluru,Data Scientist,0,1,0,1,AWS,0.0005,25,0,4
115,Cyient,Hyderabad,Data Scientist,0,0,0,0,AWS,0.570,"10,000",0,4
116,Snowflake,Pune,Data Scientist,1,0,0,0,AWS,0.592,"2,495",0,4
120,Agoda Company,Gurgaon,Data Scientist,0,0,0,0,AWS,1.5,"4,000",0,4
126,Open Insights,Pune,Data Scientist,1,0,0,0,AWS,0.0005,20,0,4
137,AIBridge ML,Hyderabad,Data Scientist,0,0,0,0,AWS,0.05,30,0,4
141,Kaplan,Bengaluru,Data Scientist,1,1,0,1,AWS,1.3,12000,0,4
147,Tekion,Bengaluru,Data Scientist,1,0,0,0,AWS,0.576,1304,0,4
148,mPokket,Bengaluru,Data Scientist,0,1,0,0,AWS,0.013,1400,0,4
151,GO-JEK,Bengaluru,Data Scientist,1,0,1,0,AWS,0.086,563,0,4
152,Oportun Inc,Remote in India,Data Scientist,1,1,0,1,AWS,0.583,"1,474",0,4
153,Autodesk,Bengaluru,Data Scientist,0,0,0,0,AWS,3.79,11500,0,4
155,Ignitarium Technology Solutions,India,Data Scientist,0,0,0,0,AWS,0.0536,289,0,4
156,Elsevier,Bengaluru,Data Scientist,0,0,0,1,AWS,3.95,8600,0,4
158,Blinkit,Bengaluru,Data Scientist,1,0,0,0,AWS,0.3,2000,0,4
159,Sofar Ocean,San,Data Scientist,1,1,0,0,AWS,0.002,27,0,4
160,McAfee Enterprise,Bengaluru,Data Scientist,1,0,0,1,AWS,2.906,6900,0,4
161,Surya Systems,Temporarily Remote in Bengaluru,Data Scientist,1,0,0,0,AWS,0.008,45,0,4
164,Ayla Networks,Bengaluru,Data Scientist,0,0,0,0,AWS,0.021,142,0,4
165,Qualys,Remote in Pune,Data Scientist,1,0,0,1,AWS,0.363,1500,0,4
171,Kwalee,Bengaluru,Data Scientist,1,0,0,0,AWS,0.0283,183,0,4
172,QuestAlliance,Bengaluru,newData and Tech Associate – MyQuest,0,0,0,0,Azure,0.007,120,0,4
174,Exapas,Pune,Data Scientist,1,1,1,0,AWS,0.0005,20,0,4
176,Tredence,Gurgaon,Data Scientist,1,0,0,1,AWS,0.0302,1050,0,4
178,ArrayGen Technologies,Pune,Data Scientist,1,0,0,0,AWS,0.005,25,0,4
180,ADCI - Karnataka,Hyderabad,Data Scientist,1,0,0,1,AWS,0.0005,20,0,4
183,Agoda Company,Gurgaon,Data Scientist,1,0,0,0,AWS,1.5,"4,000",0,4
185,umlaut AG,Bengaluru,Data Scientist,1,0,0,1,AWS,0.476,4500,0,4
191,GD Research Center,Hyderabad,Data Scientist,0,0,0,0,AWS,0.153,805,0,4
200,dunnhumby,Gurgaon,Data Scientist,1,1,1,1,Both or Didnt Specift,0.444,3124,0,4
202,GO-JEK,Bengaluru,Senior Decision Scientist- Incentives,1,0,0,1,Both or Didnt Specift,0.086,563,0,4
206,Tekion,Bengaluru,Data Scientist,1,0,0,0,Both or Didnt Specift,0.576,1304,0,4
207,GO-JEK,Bengaluru,Decision Scientist - GoFood,0,0,0,1,Azure,0.086,563,0,4
209,Kimberly-Clark,Bengaluru,Data Scientist,1,1,0,1,Both or Didnt Specift,0.0005,20,0,4
212,GO-JEK,Bengaluru,Decision Scientist - GoFood,1,1,0,0,Azure,0.086,563,0,4
213,Spiceworks, Remote,Data Scientist,1,0,0,0,Both or Didnt Specift,0.05,500,0,4
215,Texas Instruments,Bengaluru,Data Scientist,1,1,0,1,Both or Didnt Specift,0.0005,20,0,4
216,Cyient,Hyderabad,Data Scientist,1,0,0,1,Both or Didnt Specift,0.570,"10,000",0,4
217,Société Générale,Bengaluru,Data Scientist,1,0,0,0,Both or Didnt Specift,,20,0,4
219,Myntra.com,Bengaluru,Data Scientist,0,0,1,0,Both or Didnt Specift,17.19,1614,0,4
221,Collins Aerospace,Bengaluru,Data Scientist,1,0,0,0,Both or Didnt Specift,6.83,5000,0,4
222,iSOCRATES,Mysore,Data Scientist,1,1,0,0,Both or Didnt Specift,0.013,52,0,4
227,Aptus Data LAbs,Bengaluru,Data Scientist,0,0,0,0,Both or Didnt Specift,0.023,123,0,4
228,Cashify,Gurgaon,Data Scientist,1,0,0,0,Both or Didnt Specift,0.015,685,0,4
229,Niramai,Bengaluru,Data Scientist,0,0,0,0,Both or Didnt Specift,0.0226,60,0,4
230,WHITE FORCE OUTSOURCING SERVICES PRIVATE LIMITED,Delhi,Data Scientist,0,0,0,0,Both or Didnt Specift,0.0005,20,0,4
231,Mobiquity,Hyderabad,Data Scientist,0,0,0,0,Both or Didnt Specift,0.07,650,0,4
232,Siemens Technology and Services Private Limited,Bengaluru,Analytics,1,0,0,0,Azure,0.0005,20,1,4
233,Impiger Technologies,Chennai,Data Scientist,0,1,0,0,Both or Didnt Specift,0.0005,20,0,4
235,GO-JEK,Bengaluru,Data Scientist,0,1,0,0,Both or Didnt Specift,0.086,563,0,4
236,Kimberly-Clark,Bengaluru,Data Scientist,0,0,0,0,Both or Didnt Specift,0.0005,20,0,4
237,AISPL - Karnataka,Bengaluru,Data Scientist,1,0,0,0,Both or Didnt Specift,0.0005,20,0,4
239,Schneider Electric,Bengaluru,Data Scientist,1,1,0,1,Both or Didnt Specift,0.0005,20,0,4
241,Beinex,Kochi,Data Scientist,0,0,1,1,Both or Didnt Specift,0.018,30,0,4
243,Ola Cabs,Bengaluru,Data Scientist,1,1,1,0,Both or Didnt Specift,0.34,3000,0,4
244,Great Learning,Bengaluru,Data Scientist,1,1,0,1,Both or Didnt Specift,0.043,2007,0,4
246,Wells Fargo,Bengaluru,NLP,1,1,0,0,Azure,0.0005,20,0,4
247,Acuity Knowledge Partners,Bengaluru,Data Scientist,0,1,0,1,Both or Didnt Specift,0.0005,20,0,4
249,Cyient,Hyderabad,Data Scientist,0,0,0,1,Both or Didnt Specift,0.570,"10,000",0,4
250,Onward Group,Bengaluru,Data Engineer,1,1,0,1,Both or Didnt Specift,0.03,2700,1,4
251,ADCI - Karnataka,Bengaluru,"newApplied Scientist II, Natural Language Understanding, Alexa...",1,1,0,1,Both or Didnt Specift,0.0005,20,0,4
254,RealPage,Hyderabad,Data Scientist,0,0,0,1,Both or Didnt Specift,1.16,10000,0,4
255,Dun & Bradstreet,Mumbai,Data Scientist,0,0,0,1,Both or Didnt Specift,0.0005,20,0,4
256,HERE Technologies,Mumbai,Computer Vision,1,1,0,0,Both or Didnt Specift,0.0005,20,0,4
258,mPokket,Bengaluru,Data Scientist,1,0,0,0,Both or Didnt Specift,0.013,1400,0,4
259,Coursera,India,Data Scientist,0,0,0,0,Both or Didnt Specift,0.2935,1792,0,4
260,State Street,Hyderabad,Data Engineer,0,0,0,0,Azure,11.7,5000,1,4
261,Harman International,Bengaluru,Data Scientist,0,0,1,0,Both or Didnt Specift,0.0005,20,0,4
262,WishFin,Noida,Data Scientist,0,0,0,1,Both or Didnt Specift,0.0464,140,0,4
264,NEC Opportunities,Delhi,Data Scientist,1,0,0,0,Both or Didnt Specift,0.0005,20,0,4
266,Institutional Shareholder Services,Mumbai,Data Scientist,0,0,0,1,Both or Didnt Specift,0.0005,20,0,4
267,Expedia Group,Gurgaon,Analytics,1,0,0,0,Both or Didnt Specift,0.0005,20,1,4
268,GO-JEK,Bengaluru,Data Scientist,0,0,0,1,Both or Didnt Specift,0.086,563,0,4
269,BOEING,Bengaluru,Consultant,1,0,1,0,Both or Didnt Specift,0.0005,20,0,4
270,Lingaro Group,Remote in India,Data Scientist,1,0,0,0,Both or Didnt Specift,0.0005,20,0,4
272,Ola Cabs,Bengaluru,Data Scientist,1,0,0,0,Both or Didnt Specift,0.34,3000,0,4
273,QuestAlliance,Bengaluru,newData and Tech Associate – MyQuest,1,1,0,0,Azure,0.007,120,0,4
275,ADCI - Karnataka,Bengaluru,"newApplied Scientist II, Natural Language Understanding, Alexa...",0,0,1,1,Both or Didnt Specift,0.0005,20,0,4
276,GE Digital,Bengaluru,Data Scientist,1,1,0,0,Both or Didnt Specift,0.0005,20,0,4
277,Paytm,India,Data Scientist,0,0,0,0,Both or Didnt Specift,0.14,11500,0,4
279,LeadSquared,India,NLP,0,1,0,0,Both or Didnt Specift,0.0005,20,0,4
280,Inspirion Digital Solutions,Bengaluru,Data Scientist,0,1,0,0,Both or Didnt Specift,0.0005,20,0,4
281,GE Healthcare,Bengaluru,Data Scientist,1,0,0,0,Both or Didnt Specift,0.0005,20,0,4
283,Paytm,Bengaluru,Data Scientist,1,0,0,1,Both or Didnt Specift,0.14,11500,0,4
285,Concentrix,Bengaluru,Data Scientist,0,0,0,0,Both or Didnt Specift,0.0005,20,0,4
286,RELX,Chennai,Data Scientist,1,0,0,0,Both or Didnt Specift,0.0005,20,0,4
288,Salesforce,Hyderabad,Data Scientist,0,0,0,1,Both or Didnt Specift,0.0005,20,0,4
289,Elpis IT Solutions,Bengaluru,Data Scientist,0,1,0,0,Both or Didnt Specift,0.0005,20,0,4
290,Tala,Bengaluru,Data Scientist,1,0,0,0,Both or Didnt Specift,0.0005,20,0,4
291,Eclerx,Mumbai,Data Scientist,1,0,0,0,Both or Didnt Specift,0.0005,20,0,4
292,Fundnel Pte Ltd,Mumbai,Data Scientist,0,1,0,0,Both or Didnt Specift,0.0005,20,0,4
293,Paytm,Delhi,Data Scientist,1,0,0,1,Both or Didnt Specift,0.14,11500,0,4
295,Fractal.ai,Bengaluru,Analytics,1,0,0,1,Azure,0.1,2500,1,4
296,Careator Technologies,Bengaluru,Data Scientist,1,1,0,0,Both or Didnt Specift,0.0005,20,0,4
297,GO-JEK,Bengaluru,Data Scientist,0,0,0,0,Both or Didnt Specift,0.086,563,0,4
298,Deal4loans,Noida,Data Scientist,0,0,0,0,Both or Didnt Specift,0.0005,20,0,4
299,AstraZeneca,Bengaluru,Consultant,0,0,0,1,Both or Didnt Specift,0.0005,20,0,4
300,VM3 Tech Solutions,Pune,Data Scientist,0,0,0,0,Azure,0.0005,20,0,4
301,Bolt,Bengaluru,Data Scientist,1,1,0,1,Azure,0.221,3818,0,4
302,dunnhumby,Gurgaon,Data Scientist,0,1,0,1,Azure,0.444,3124,0,4
305,TeamPlus Staffing Solution Pvt Ltd,Bengaluru,Data Scientist,1,0,0,0,Azure,0.0005,20,0,4
306,HR Inc Consultants,India,Data Scientist,0,0,0,1,Azure,0.0005,20,0,4
308,QSSOT Technology,Coimbatore,Data Scientist,0,0,0,0,Azure,0.0005,20,0,4
309,Transorg Analytics,Remote in Gurgaon,Data Scientist,1,1,0,1,Azure,0.0005,20,0,4
311,Baker Hughes,Bengaluru,Data Scientist,0,0,0,0,Azure,0.0005,20,0,4
312,IHCC,Karnataka,Data scientist,0,0,0,1,Both or Didnt Specift,0.0005,20,0,4
313,GenieTalk,Indore,Data Scientist,0,0,0,0,Azure,0.0005,20,0,4
314,Nihilent,Gurgaon,Data Scientist,1,0,0,1,Azure,0.0005,20,0,4
315,Zscaler,Bengaluru,Data Scientist,1,0,0,0,Azure,0.0005,20,0,4
316,MobiKwik,Gurgaon,Data Scientist,1,0,0,0,Azure,0.0005,20,0,4
317,Technovert,Remote in Hyderabad,Data Scientist,1,0,0,1,Azure,0.0005,20,0,4
319,Toluna,Gurgaon,Data Scientist,0,1,0,0,Azure,0.0005,20,0,4
321,SoulPage IT Solutions,Hyderabad,Data Scientist,0,1,0,1,Azure,0.0005,20,0,4
322,Rockwell Automation,Gurgaon,Data Scientist,1,0,1,1,Azure,0.0005,20,0,4
323,Apptio,Bengaluru,Data Scientist,1,1,0,1,Azure,0.0005,20,0,4
324,Acesoft Labs,Remote in Bengaluru,Data Scientist,0,1,0,1,Azure,0.0005,20,0,4
325,Eclerx,Pune,Data Scientist,0,0,1,0,Azure,0.0005,20,0,4
326,UBS,India,Data Scientist,1,0,0,0,Azure,0.0005,20,0,4
328,Dexlock,Kanayannur,Data Scientist,1,1,0,0,Azure,0.0005,20,0,4
329,Ninjacart,Bengaluru,Data Scientist,1,0,0,0,Azure,0.0005,20,0,4
331,PAGO Analytics,Hyderabad,Data Scientist,0,0,0,0,Azure,0.0005,20,0,4
332,Exapas,Pune,Data Scientist,0,1,0,0,Azure,0.0005,20,0,4
333,GO-JEK,Bengaluru,Data Scientist,1,0,0,1,Azure,0.086,563,0,4
335,Global Industrial,Mumbai,Data Scientist,1,0,0,0,Azure,1.26,27,0,4
336,Ameriprise Financial,Noida,Data Scientist,0,0,1,0,Azure,0.0005,20,0,4
337,ADCI HYD 13 SEZ,Hyderabad,"newApplied Scientist I, Amazon Business",0,0,0,0,AWS,0.0005,20,0,4
338,Danaher Digital,Bengaluru,Data Scientist,0,1,0,0,Azure,0.0005,20,0,4
339,Henkel,Navi Mumbai,Data Scientist,0,1,0,0,Azure,0.0005,20,0,4
341,Sanofi,Hyderabad,RWE Data Analyst/ Scientist,1,0,0,0,Both or Didnt Specift,0.0005,20,0,4
342,Groupon,Bengaluru,Data Scientist,0,0,0,1,Azure,0.0005,20,0,4
343,NielsenIQ,Vadodara,Data Scientist,0,0,0,0,Azure,0.0005,20,0,4
344,Ormae,Bengaluru,Data Scientist,1,0,0,1,Azure,0.0005,20,0,4
346,XenonStack,Chandigarh,Data Scientist,0,1,1,0,Azure,0.0005,20,0,4
348,Citi,Pune,Data Scientist,0,0,0,1,Azure,0.0005,20,0,4
349,Concentrix,Gurgaon,Data Scientist,0,0,1,1,Azure,0.0005,20,0,4
350,Walmart Global Tech India,Bengaluru,ML Engineer,1,0,0,0,AWS,40.65,"10,000",0,4
351,Aspire Systems,Chennai,Data Scientist,1,1,0,0,Azure,0.0005,20,0,4
352,ALTIMETRIK Inc,Chennai,Data Scientist,0,0,0,0,Azure,0.0005,20,0,4
355,Country Veggie,Agra,Data Scientist,0,0,0,1,Azure,0.0005,20,0,4
358,Cyient,Hyderabad,Data Scientist,0,1,1,0,Azure,0.570,"10,000",0,4
360,Travel Centric Technology,Bengaluru,Data Scientist,1,0,0,1,Azure,0.0005,20,0,4
361,GO-JEK,Bengaluru,Data Scientist,0,1,1,1,Azure,0.086,563,0,4
363,Lingaro Group,Remote in India,Data Scientist,0,1,0,1,Azure,0.0005,20,0,4
364,Baker Hughes,India,Data Scientist,1,1,0,0,Azure,0.0005,20,0,4
365,Baker Hughes,Bengaluru,Data Scientist,0,1,0,0,Azure,0.0005,20,0,4
366,iCliniq,Coimbatore,Data Scientist,0,0,0,1,Azure,0.0005,20,0,4
367,Scienaptic Systems,Bengaluru,Data Scientist,0,0,1,1,Azure,0.0005,20,0,4
368,Affine,Hyderabad,Data Scientist,0,0,0,1,Azure,0.0005,20,0,4
369,PwC,Kolkata,Analytics,1,1,0,0,AWS,0.0005,20,1,4
370,Cargill,Bengaluru,Data Scientist,0,1,0,0,Azure,0.0005,20,0,4
371,AppsTek Corp,Hyderabad,Data Scientist,0,0,0,0,Azure,0.0005,20,0,4
372,ADCI - Karnataka,Hyderabad,Data Scientist,1,0,0,0,Azure,0.0005,20,0,4
374,Verizon,Chennai,Data Scientist,0,0,0,0,Azure,0.0005,20,0,4
375,Tekion,Bengaluru,Data Scientist,1,0,0,0,Azure,0.576,1304,0,4
376,Danaher Digital,Bengaluru,Data Scientist,1,0,0,0,Azure,0.0005,20,0,4
377,Atlas Copco (India) Ltd.,Pune,Analytics,1,0,0,0,AWS,0.0005,20,1,4
378,Niramai,Bengaluru,Data Scientist,1,0,0,0,Azure,0.0226,60,0,4
379,ADCI HYD 13 SEZ,Hyderabad,Senior Research Scientist- Alexa Data Services,0,0,0,0,Both or Didnt Specift,0.0005,20,0,4
380,Nissan,Thiruvananthapuram,Data Scientist,0,0,0,0,Azure,0.0005,20,0,4
382,Tekion,Bengaluru,Data Scientist,0,1,0,0,Azure,0.576,1304,0,4
383,VMock Inc,Gurgaon,Data Scientist,1,0,0,0,Azure,0.0005,20,0,4
384,StratLytics,Bhubaneshwar,NLP,1,0,1,1,Azure,0.0005,20,0,4
385,SearchUrCollege,Noida,Data Scientist,0,0,0,0,Azure,0.0005,20,0,4
386,Entytle,Pune,Data Scientist,1,0,0,0,Azure,0.0005,20,0,4
387,PwC,Bengaluru,Data Scientist,1,0,1,0,Azure,0.0005,20,0,4
389,TomTom,Remote in Pune,Data Scientist,1,0,0,0,Azure,0.759,4500,0,4
391,ITOrizon,Bengaluru,Data Scientist,1,0,0,1,Azure,0.021,140,0,4
392,Tokopedia,India,Data Scientist,1,1,0,0,Azure,28.6,4700,0,4
393,Ayla Networks,Bengaluru,Data Scientist,0,0,0,1,Azure,0.021,142,0,4
394,BMC Software,Pune,Data Scientist,1,0,0,1,Azure,2,6000,0,4
395,Imurgence,India,Consultant,0,0,1,1,Azure,0.0005,20,0,4
399,Swiggy,Bengaluru,Data Scientist,0,0,0,0,Azure,0.37,11086,0,4
400,ZL Technologies,Hyderabad,Data Scientist,1,0,0,0,Both or Didnt Specift,0.0005,20,0,4
401,AppsTek Corp,Hyderabad,Data Scientist,0,0,0,0,Both or Didnt Specift,0.0005,20,0,4
403,Kpler,Remote,Data scientist Manager,0,0,0,0,Both or Didnt Specift,0.036,150,0,4
404,PhonePe,Bengaluru,Data Scientist,1,0,0,0,Both or Didnt Specift,6.9,2500,0,4
405,Tredence,Gurgaon,Data Scientist,0,0,0,1,Both or Didnt Specift,0.0302,1050,0,4
406,Mount Talent Consulting,Remote in Bengaluru,Data Scientist,1,1,0,0,Both or Didnt Specift,0.0005,20,0,4
408,Adobe,Noida,Computer Vision,0,0,0,0,AWS,12.86,11847,0,4
413,2COMs,Gurgaon,Data Scientist,1,0,0,0,Both or Didnt Specift,0.0005,20,0,4
415,GE Digital,Bengaluru,Data Scientist,1,0,0,0,Both or Didnt Specift,0.0005,20,0,4
417,Agoda Company,Gurgaon,Data Scientist,1,1,0,0,Both or Didnt Specift,1.5,"4,000",0,4
418,Medline Industries,Pune,Data Scientist,0,0,0,1,Both or Didnt Specift,0.0005,20,0,4
419,ADCI - Karnataka,Bengaluru,Data Scientist,1,0,1,1,Both or Didnt Specift,0.0005,20,0,4
420,Hitachi Vantara Corporation,Bengaluru,Data Scientist,0,0,0,0,Both or Didnt Specift,0.0005,20,0,4
422,Fractal.ai,Mumbai,NLP,0,0,0,0,AWS,0.1,2500,0,4
423,Atlas Copco (India) Ltd.,Pune,Data Engineer,1,0,0,0,Both or Didnt Specift,0.0005,20,1,4
424,Codelogicx Technologies Private Limited,West Bengal,ML Engineer,1,0,0,0,AWS,0.0005,20,0,4
428,Great Learning,Gurgaon,Data Scientist,1,0,0,0,Both or Didnt Specift,0.043,2007,0,4
429,QSSOT Technology,Coimbatore,Data Scientist,0,0,0,0,Both or Didnt Specift,0.0005,20,0,4
430,CustomerXPs,Bengaluru,Data Scientist,1,0,1,0,Both or Didnt Specift,0.0005,20,0,4
431,ValueLabs,Hyderabad,ML Engineer,1,0,0,1,AWS,0.9189,5222,0,4
433,StatusNeo Technology Consulting,Gurgaon,Data Scientist,1,1,0,1,Both or Didnt Specift,0.0005,20,0,4
436,Gridlogic,Hyderabad,Data Scientist,1,0,0,1,Both or Didnt Specift,0.0005,200,0,4
437,Careator Technologies,Bengaluru,Data Scientist,0,1,0,0,Both or Didnt Specift,0.0005,20,0,4
438,Intuit,Bengaluru,ML Engineer,0,1,0,1,AWS,9.633,10600,0,4
439,Kanini Software Solutions,Chennai,Data Scientist,1,1,0,0,Both or Didnt Specift,0.0005,20,0,4
440,Inspirion Digital Solutions,Bengaluru,Data Scientist,1,0,0,1,Both or Didnt Specift,0.0005,20,0,4
441,Indian Institute of Digital Education,India,Data Scientist,1,1,0,0,Both or Didnt Specift,0.0005,20,0,4
443,Credit Suisse,Pune,Data Scientist,0,0,0,1,Both or Didnt Specift,0.0005,20,0,4
445,Innoplexus,Pune,Data Scientist,0,1,0,1,Both or Didnt Specift,0.0005,20,0,4
446,Crimson Interactive,Mumbai,Data Scientist,1,1,0,1,Both or Didnt Specift,0.0005,20,0,4
448,PREZENTIUM,India,ML Engineer,0,0,0,0,AWS,0.0005,20,0,4
449,Colgate-Palmolive,Mumbai,Data Scientist,1,0,0,0,Both or Didnt Specift,15.693,1130,0,4
451,Imurgence,India,Consultant,1,0,0,1,Both or Didnt Specift,0.0005,20,0,4
452,ADCI HYD 13 SEZ,Hyderabad,Applied Scientist - II,1,0,0,0,Both or Didnt Specift,0.0005,20,0,4
454,Cargill,Bengaluru,Software Engineer,1,0,0,1,Both or Didnt Specift,0.0005,20,0,4
457,CTD Techs,Chennai,Data Scientist,0,1,0,1,Both or Didnt Specift,0.0005,20,0,4
459,StratLytics,Bhubaneshwar,NLP,1,0,0,0,Both or Didnt Specift,0.0005,20,0,4
462,Claim Genius Making touchless claims a reality,Hyderabad,Data Scientist,1,0,0,1,Both or Didnt Specift,0.0005,20,0,4
463,Sybrant Data,Chennai,Data Scientist,0,0,0,1,Both or Didnt Specift,0.024,264,0,4
464,Myntra.com,Bengaluru,Data Scientist,1,0,0,0,Both or Didnt Specift,17.19,1614,0,4
466,Ericsson,Bengaluru,Data Scientist,1,0,0,1,Both or Didnt Specift,0.0005,20,0,4
467,Salesforce,Hyderabad,Data Scientist,1,0,0,1,Both or Didnt Specift,0.0005,20,0,4
468,Blue Yonder,Bengaluru,Data Scientist,1,0,0,0,Both or Didnt Specift,0.0005,20,0,4
469,[24]7.ai,Bengaluru,Data Scientist,0,1,1,0,Both or Didnt Specift,0.0005,20,0,4
470,Sony India Software Centre Pvt Ltd,Bengaluru,Data Scientist,0,0,0,1,Both or Didnt Specift,0.0005,20,0,4
472,Innoplexus,Pune,Data Scientist,1,1,0,0,Both or Didnt Specift,0.0005,20,0,4
474,NielsenIQ,Vadodara,Data Scientist,0,0,0,0,Both or Didnt Specift,0.0005,20,0,4
477,Kwalee,Bengaluru,Data Scientist,0,0,0,0,Both or Didnt Specift,0.0283,183,0,4
479,Khoros,Bengaluru,newLead Data Analyst,0,1,0,0,Both or Didnt Specift,0.2,1000,0,4
480,mediaagility,Remote in Gurgaon,ML Engineer,1,0,0,0,AWS,0.0005,20,0,4
485,ADCI HYD 13 SEZ,Hyderabad,Senior Research Scientist- Alexa Data Services,1,0,0,0,Both or Didnt Specift,0.0005,20,0,4
486,ArrayGen Technologies,Pune,Data Scientist,1,1,0,0,Both or Didnt Specift,0.005,25,0,4
488,Gridlogic,Hyderabad,Data Scientist,0,0,1,1,Both or Didnt Specift,0.0005,200,0,4
489,Crimson Interactive,Mumbai,Data Scientist,1,0,0,0,Both or Didnt Specift,0.0005,20,0,4
490,Spotflock,Hyderabad,Data Scientist,0,0,0,0,Both or Didnt Specift,0.0005,20,0,4
492,Bain & Company,Bengaluru,Data Scientist,0,1,0,1,Both or Didnt Specift,0.0005,20,0,4
493,Narayana Health,Bengaluru,Data Scientist,0,1,0,0,Both or Didnt Specift,0.42,11261,0,4
495,KPIT Technologies GmbH,Pune,Data Scientist,1,0,0,0,Both or Didnt Specift,0.291,7125,0,4
497,Impact Guru,Mumbai,Data Scientist,0,0,0,0,Both or Didnt Specift,0.0005,68,0,4
498,Crypto Mize,Delhi,Data Scientist,1,1,0,0,Both or Didnt Specift,0.002,22,0,4
499,Dunzo,Bengaluru,Data Scientist,1,0,0,0,Both or Didnt Specift,0.137,669,0,4
