,Company,Location,Role
166,Busibud,Other,HR Operations
167,Airtory,Karnataka,Data Analytics
168,Dimensionless Technologies,Maharastra,Cloud System Administration
169,Medius Technologies Private Limited,Remote,Data Analytics
170,SkillBoard,Remote,Video Tutorial Creation (Excel And PowerBI)
171,Robocom International,Remote,Deep Learning Engineering
172,Gloify,Karnataka,Machine Learning
173,DNK Consultancy Services Private Limited,Delhi NCR,Quant Trading
174,Tag8,Maharastra,Business Analyst
175,Zoe Nutrition Private Limited,Delhi NCR,Data Analytics (Marketing)
176,ExxpertSCM (A Unit Of Thoughtware Training Private Limited),Karnataka,Data Analytics
177,ExxpertSCM (A Unit Of Thoughtware Training Private Limited),Karnataka,Data Analytics
178,Spacekawa Explorations Private Limited,Remote,Data Science
179,True Elements,Maharastra,Data Science & Analytics
180,Pianalytix Edutech Private Limted,Remote,Microsoft Power BI Development
181,GenieTalk,Other,Data Science
182,Ampius Industries,Delhi NCR,Data Science
183,Aurochs Software Private Limited,Maharastra,Business Analytics
184,SkillBit,Remote,Data Science
185,SkillBit,Maharastra,Machine Learning
186,ABG IT Services,Karnataka,Cloud Analytics
187,Empliance Information Services India LLP,Remote,Data Science
188,Stirring Minds,Delhi NCR,Business Analytics
189,Qure.ai,Remote,Data Science (Radiology)
190,Isourse,Delhi NCR,Business Analysis
191,Webomates,Remote,AI
192,Primary Healthtech,Other,Data Analytics
193,Vasundharaa Geo Technologies Private Limited,Maharastra,Machine Learning (Data Science)
194,Deep  Manek,Maharastra,Data Science
195,CBD Marketing Solutions,Delhi NCR,Influencer Marketing Analysis
196,Ladli Foundation,Remote,Research
197,Kamdhenu Robotics,Remote,Computer Vision & AI (Robotics)
198,CloudGarage,Remote,Business Analytics
199,Areneva Technologies,Delhi NCR,Business Analysis
200,Trium Info Solutions Private Limited,Maharastra,Data Science
201,Alphabt,Remote,Computer Vision (AI-Based)
202,FlexiEle Consulting Services Private Limited,Remote,OpenCV Authentication
203,ClayLogix Consulting Private Limited,Delhi NCR,Power BI Development
204,Delever (V Delever Solutionss Private Limited),Remote,Business Analysis
205,Blismos Solutions Private Limited,Karnataka,Data Engineering/Big Data Development & Testing
206,ABG IT Services,Karnataka,Data Analytics
207,Fezelearn Edtech,Other,Machine Learning
208,Musejam,Delhi NCR,Data & Reporting
209,"Indraprastha Institute Of Information Technology, Delhi",Delhi NCR,Summer Research
210,Aryabhatta Research Institute Of Observational Sciences,Other,Computer Science
